source,label,frame,length
3D,17点モデル(拡張前),98,0.36459433543032743
3D,17点モデル(拡張前),99,0.36459423756501835
3D,17点モデル(拡張前),100,0.3638808093749396
3D,17点モデル(拡張前),101,0.3635441061395276
3D,19点モデル(拡張後),1,1.7042792853026814
3D,19点モデル(拡張後),2,1.791134490152137
3D,19点モデル(拡張後),3,1.7940681612773939
3D,19点モデル(拡張後),4,1.79094934105076
3D,19点モデル(拡張後),5,1.79899187617615
3D,19点モデル(拡張後),6,1.8164125707680254
3D,19点モデル(拡張後),7,1.8313503201152408
3D,19点モデル(拡張後),8,1.842849247620841
3D,19点モデル(拡張後),9,1.84991441420822
3D,19点モデル(拡張後),10,1.8489403301010339
3D,19点モデル(拡張後),11,1.842114104386826
3D,19点モデル(拡張後),12,1.8019106201558244
3D,19点モデル(拡張後),13,1.758658057597321
3D,19点モデル(拡張後),14,1.7600189164997462
3D,19点モデル(拡張後),15,1.7388762775240185
3D,19点モデル(拡張後),16,1.7449205695167431
3D,19点モデル(拡張後),17,1.7388913402866226
3D,19点モデル(拡張後),18,1.7120239322720534
3D,19点モデル(拡張後),19,1.7252032751363002
3D,19点モデル(拡張後),20,1.8287205863413847
3D,19点モデル(拡張後),21,1.7805318694774783
3D,19点モデル(拡張後),22,1.8432884234047773
3D,19点モデル(拡張後),23,1.7059021836658468
3D,19点モデル(拡張後),24,1.753468346465094
3D,19点モデル(拡張後),25,1.884542489381815
3D,19点モデル(拡張後),26,1.7289488118509024
3D,19点モデル(拡張後),27,1.3915065841352803
3D,19点モデル(拡張後),28,1.3277666509933488
3D,19点モデル(拡張後),29,1.3536792989725488
3D,19点モデル(拡張後),30,1.5808296722797937
3D,19点モデル(拡張後),31,1.52908242366959
3D,19点モデル(拡張後),32,1.4785540428511632
3D,19点モデル(拡張後),33,1.5444348847690184
3D,19点モデル(拡張後),34,1.613654723211747
3D,19点モデル(拡張後),35,1.6625220519936015
3D,19点モデル(拡張後),36,1.7309647381982995
3D,19点モデル(拡張後),37,1.7072503246979656
3D,19点モデル(拡張後),38,1.6670932138385348
