source,kind,joint,frame,angle_deg
2D,推定,left_elbow,55,133.88451057601156
2D,推定,left_elbow,56,129.94414493382268
2D,推定,left_elbow,57,120.42764936541879
2D,推定,left_elbow,58,121.65514710320387
2D,推定,left_elbow,59,132.32790604042168
2D,推定,left_elbow,60,132.92268268029835
2D,推定,left_elbow,61,146.1420555446295
2D,推定,left_elbow,62,160.32962651855448
2D,推定,left_elbow,63,159.16930933995565
2D,推定,left_elbow,64,153.50997383027322
2D,推定,left_elbow,65,163.6574387809813
2D,推定,left_elbow,66,156.97855382831503
2D,推定,left_elbow,67,163.49538900352343
2D,推定,left_elbow,68,167.10585502696313
2D,推定,left_elbow,69,170.0227827259809
2D,推定,left_elbow,70,175.70771691305697
2D,推定,left_elbow,71,175.37258291205939
2D,推定,left_elbow,72,177.38040482021367
2D,推定,left_elbow,73,172.32847041148855
2D,推定,left_elbow,74,169.1746750831884
2D,推定,left_elbow,75,165.61733212109965
2D,推定,left_elbow,76,163.23350044619653
2D,推定,left_elbow,77,162.00292328141498
2D,推定,left_elbow,78,163.53985444189175
2D,推定,left_elbow,79,164.26376493050603
2D,推定,left_elbow,80,164.6730269622174
2D,推定,left_elbow,81,167.36688161319137
2D,推定,left_elbow,82,170.32879706730898
2D,推定,left_elbow,83,172.61310909793482
2D,推定,left_elbow,84,171.97913576878975
2D,推定,left_elbow,85,171.38470275275418
2D,推定,left_elbow,86,170.79150980225538
2D,推定,left_elbow,87,170.49423159828345
2D,推定,left_elbow,88,170.4394695503446
2D,推定,left_elbow,89,170.0363382921533
2D,推定,left_elbow,90,170.11840046132934
2D,推定,left_elbow,91,170.09950444602833
2D,推定,left_elbow,92,170.5365827197641
2D,推定,left_elbow,93,170.47246527232693
2D,推定,left_elbow,94,170.76303074756535
2D,推定,left_elbow,95,170.61861668823494
2D,推定,left_elbow,96,170.56742002540804
2D,推定,left_elbow,97,171.18569383687313
2D,推定,left_elbow,98,170.64126520206975
2D,推定,left_elbow,99,170.68384159874742
2D,推定,left_elbow,100,170.32876980687817
2D,推定,left_elbow,101,169.40797446750685
2D,推定,right_elbow,1,83.13755459654614
2D,推定,right_elbow,2,83.2757252603201
2D,推定,right_elbow,3,81.9215808701514
2D,推定,right_elbow,4,77.90202698287652
